TDS #,EDP,# days,Current Charges,Consumption,Water&Sewer Charges,Other Charges,,Total Charges,,,,,,,,,,,,,
91,240,29,345.38,35,345.38,0,,690.76,,,,,,,,,,,,,
91,240,29,305.9,31,305.9,0,,611.8,,,,,,,,,,,,,
91,240,34,345.38,35,345.38,0,,690.76,,,,,,,,,,,,,
91,240,29,335.51,34,335.51,0,,671.02,,,,,,,,,,,,,
91,240,29,325.64,33,325.64,0,,651.28,,,,,,,,,,,,,
91,240,29,345.38,35,345.38,0,,690.76,,,,,,,,,,,,,
91,240,28,384.85,39,384.85,0,,769.7,,,,,,,,,,,,,
91,240,34,434.19,44,434.19,0,,868.38,,,,,,,,,,,,,
91,240,32,414.45,42,414.45,0,,828.9,,,,,,,,,,,,,
91,240,29,463.79,47,463.79,0,,927.58,,,,,,,,,,,,,
91,240,31,473.66,48,473.66,0,,947.32,,,,,,,,,,,,,
91,240,31,513.13,52,513.13,0,,1026.26,,,,,,,,,,,,,
91,240,32,513.13,52,513.13,0,,1026.26,,,,,,,,,,,,,
91,240,27,493.4,50,493.4,0,,986.8,,,,,,,,,,,,,
91,240,34,552.6,56,552.6,0,,1105.2,,,,,,,,,,,,,
91,240,29,513.13,52,513.13,0,,1026.26,,,,,,,,,,,,,
91,240,29,434.19,44,434.19,0,,868.38,,,,,,,,,,,,,
91,240,31,552.6,56,552.6,0,,1105.2,,,,,,,,,,,,,
91,240,30,523,53,523,0,,1046,,,,,,,,,,,,,
91,240,29,384.85,39,384.85,0,,769.7,,,,,,,,,,,,,
91,240,33,512.12,51,512.12,0,,1024.24,,,,,,,,,,,,,
91,240,31,808.08,80,808.08,0,,1616.16,,,,,,,,,,,,,
91,240,32,363.64,36,363.64,0,,727.28,,,,,,,,,,,,,
91,240,29,393.94,39,393.94,0,,787.88,,,,,,,,,,,,,
91,240,33,353.54,35,353.54,0,,707.08,,,,,,,,,,,,,
91,240,28,555.56,55,555.56,0,,1111.12,,,,,,,,,,,,,
91,240,31,292.93,29,292.93,0,,585.86,,,,,,,,,,,,,
91,240,29,474.75,47,474.75,0,,949.5,,,,,,,,,,,,,
91,240,31,1000,99,1000,0,,2000,,,,,,,,,,,,,
91,240,29,636.36,63,636.36,0,,1272.72,,,,,,,,,,,,,
91,240,30,676.77,67,676.77,0,,1353.54,,,,,,,,,,,,,
91,240,29,404.04,40,404.04,0,,808.08,,,,,,,,,,,,,
91,240,33,771.1,75,771.1,0,,1542.2,,,,,,,,,,,,,
91,240,30,506.37,49,506.37,0,,1012.74,,,,,,,,,,,,,
91,240,31,351.36,34,351.36,0,,702.72,,,,,,,,,,,,,
91,240,90,15505.66,1766,15505.66,0,,31011.32,,,,,,,,,,,,,
91,240,29,4969.54,566,4969.54,0,,9939.08,,,,,,,,,,,,,
91,240,30,5891.45,671,5891.45,0,,11782.9,,,,,,,,,,,,,
91,240,32,11396.88,1266,11396.88,0,,22793.76,,,,,,,,,,,,,
91,240,30,12777.09,1378,12777.09,0,,25554.18,,,,,,,,,,,,,
91,240,33,8391.34,905,8391.34,0,,16782.68,,,,,,,,,,,,,
91,240,30,6481.27,699,6481.27,0,,12962.54,,,,,,,,,,,,,
91,240,40,7148.87,771,7148.87,0,,14297.74,,,,,,,,,,,,,
91,240,28,5062.62,546,5062.62,0,,10125.24,,,,,,,,,,,,,
91,240,33,6796.52,733,6796.52,0,,13593.04,,,,,,,,,,,,,
91,240,29,6138.2,662,6138.2,0,,12276.4,,,,,,,,,,,,,
91,240,29,6101.11,658,6101.11,0,,12202.22,,,,,,,,,,,,,
91,240,30,7130.32,769,7130.32,0,,14260.64,,,,,,,,,,,,,
91,240,29,6731.62,726,6731.62,0,,13463.24,,,,,,,,,,,,,
91,240,32,6842.88,738,6842.88,0,,13685.76,,,,,,,,,,,,,
91,240,32,16593.84,1751,16593.84,0,,33187.68,,,,,,,,,,,,,
91,240,38,17843.55,1862,17843.55,0,,35687.1,,,,,,,,,,,,,
91,240,32,11375.02,1187,11375.02,0,,22750.04,,,,,,,,,,,,,
91,240,30,8270.13,863,8270.13,0,,16540.26,,,,,,,,,,,,,
91,240,32,8806.78,919,8806.78,0,,17613.56,,,,,,,,,,,,,
91,240,28,6813.51,711,6813.51,0,,13627.02,,,,,,,,,,,,,
91,240,32,9027.19,942,9027.19,0,,18054.38,,,,,,,,,,,,,
91,240,31,9170.93,957,9170.93,0,,18341.86,,,,,,,,,,,,,
91,240,31,8126.38,848,8126.38,0,,16252.76,,,,,,,,,,,,,
91,240,27,8663.03,904,8663.03,0,,17326.06,,,,,,,,,,,,,
91,240,29,7896.39,824,7896.39,0,,15792.78,,,,,,,,,,,,,
91,240,29,8231.8,859,8231.8,0,,16463.6,,,,,,,,,,,,,
91,240,34,11794.71,1206,11794.71,0,,23589.42,,,,,,,,,,,,,
91,240,27,15541.94,1575,15541.94,0,,31083.88,,,,,,,,,,,,,
91,240,34,21847.53,2214,21847.53,0,,43695.06,,,,,,,,,,,,,
91,240,30,13410.48,1359,13410.48,0,,26820.96,,,,,,,,,,,,,
91,240,35,12374.35,1254,12374.35,0,,24748.7,,,,,,,,,,,,,
91,240,29,8831.77,895,8831.77,0,,17663.54,,,,,,,,,,,,,
91,240,21,6414.14,650,6414.14,0,,12828.28,,,,,,,,,,,,,
